relative_time,MagneticRotationSensor
0,1522.5466311953705
46,1522.342619208472
109,1522.3192336597338
176,1522.4546302809545
242,1522.78903983571
308,1522.5474306718606
375,1522.492920123502
441,1522.679018585914
508,1522.334701170893
575,1522.375389111758
641,1522.522144827621
708,1522.472413543984
776,1522.3149163271273
841,1522.577679975849
908,1522.7100218257497
976,1522.4539942608887
1041,1522.290327130875
1108,1522.2794932833363
1176,1522.7461109861033
1241,1522.4765549444812
1308,1522.2369531919292
1375,1522.4414177004185
1441,1522.442550905702
1508,1522.5836400795615
1575,1522.5014844408577
1641,1522.7309198260186
1708,1522.815865871695
1776,1522.8044225146423
1841,1522.5316741552795
1908,1522.6997793463286
1976,1522.7330404992247
2041,1522.6728394061379
2108,1523.0278047372362
2176,1522.6335007163082
2241,1522.8718413199188
2308,1522.6895574679725
2376,1522.8229364054853
2441,1522.7505910597076
2508,1522.7716851180223
2576,1522.5843835624405
2642,1522.8218925638303
2708,1522.715190601845
2776,1522.6110257329453
2842,1523.0031047952968
2908,1522.8753772930995
2976,1522.9685660563175
3042,1522.6165714303752
3108,1522.882180537564
3175,1522.9161390804293
3242,1522.9430555840904
3308,1523.2441203626238
3376,1522.982688733967
3442,1522.8243343955762
3508,1522.8205927881065
3575,1523.0841927231024
3642,1522.7965899185897
3708,1522.850900074661
3777,1522.8902861317981
3842,1522.9664083264702
3908,1522.8450347379112
3975,1522.735921923549
4042,1522.8022416703107
4108,1522.6972304336489
4176,1522.6487533252077
4242,1522.7417784598567
4308,1522.681962838206
4375,1522.6308812501838
4442,1522.6980219079571
4508,1522.6333714915795
4576,1522.9817878183583
4642,1522.9522493233976
4708,1523.1542663041505
4776,1522.9158371123624
4842,1523.1306432577828
4908,1522.8320330067295
4981,1523.1120253038773
5042,1522.8886751067091
5108,1522.704863373091
5176,1522.9929957192678
5242,1522.766071791515
5308,1522.8338451450104
5376,1522.6684409021984
5442,1522.9136751861922
