relative_time,MagneticRotationSensor
0,1523.5131680642007
21,1523.504420631758
89,1523.1638894942014
154,1523.786969233076
221,1523.4690942607715
289,1523.6472323970324
353,1523.5219686466398
421,1523.5800472225171
489,1523.191261864142
554,1523.541678290131
620,1523.460244894462
691,1523.562832617058
754,1523.4992591683463
821,1523.3892118240115
891,1523.2728467762204
953,1523.5208473606226
1021,1523.5455168778776
1091,1523.4991510826399
1153,1523.4844784713384
1220,1523.3272272754868
1291,1523.4357954062596
1354,1522.967889350876
1421,1523.3723038472485
1493,1523.4231153301687
1554,1523.530061116858
1621,1523.7742422182855
1691,1523.50478952035
1754,1523.4351412066906
1820,1523.3453714950576
1891,1523.7469914223095
1954,1523.5322091496685
2021,1523.5181838951887
2090,1523.665043311799
2154,1523.8118918451025
2221,1523.5616043148848
2291,1523.5836330686113
2354,1523.2954057057743
2421,1523.5007702911612
2491,1523.5321891363828
2554,1523.6191440598957
2620,1523.5669720711314
2690,1523.6649430686475
2754,1523.3660431310984
2821,1523.5958485697563
2891,1523.682811632634
2953,1523.6826374203356
3021,1523.715618241781
3091,1523.4601899099434
3154,1523.6409949483175
3221,1523.5528047518824
3290,1523.7142392137002
3354,1523.5272501252573
3421,1523.427668664395
3488,1523.9180448631535
3554,1523.4923714535005
3621,1523.516760552908
3690,1523.5119122461713
3754,1523.8221248325679
3821,1523.6010979018888
3891,1523.8307021987039
3953,1523.5832379440717
4020,1523.6227169058905
4090,1523.7099359607328
4154,1523.6812432257136
4221,1523.3435367747
4291,1523.6872652287113
4354,1523.721362524605
4420,1523.6180715875614
4490,1523.6485513441992
4554,1523.4515941856441
4620,1523.6313600996189
4691,1523.4367635560482
4754,1523.2711844338533
4821,1523.3915272615516
4891,1523.4185550233392
4953,1523.612268419188
5021,1523.5491460998398
5093,1523.4033717239229
5154,1523.5056424207085
5221,1523.5346581220601
5291,1523.436723925882
5354,1523.5671478090494
5420,1523.6618809176625
