relative_time,MagneticRotationSensor
0,1522.8396073353022
27,1523.1303443718907
96,1523.1284969201495
163,1522.8522504351636
228,1523.1141393748437
295,1523.0018032711203
362,1522.774972494736
428,1523.185623800712
495,1523.1565250362617
562,1522.6875539008554
628,1522.9451296065934
695,1523.2752461951504
762,1523.272843677054
828,1522.8185290687907
895,1522.6180601989013
961,1523.0154383751142
1028,1522.8647696026849
1095,1523.114156850896
1162,1523.16236863881
1228,1522.8941466339468
1295,1523.1174697682322
1362,1523.0434297287293
1429,1523.012637480876
1495,1522.9687655799548
1562,1523.0875199807178
1629,1522.9242675188514
1695,1522.6015286343884
1762,1522.8060009390197
1829,1523.1721471434505
1895,1522.864462951225
1961,1523.2457618419933
2029,1522.86990267795
2095,1522.8388803886437
2162,1523.056373157366
2228,1523.2903347020294
2295,1522.8888156526893
2362,1523.0006135267035
2429,1522.8564186197318
2495,1522.8867390273558
2562,1522.7008024609486
2628,1522.9132672929654
2695,1523.1881821130407
2762,1522.9810254027896
2829,1523.0099161774165
2895,1522.9058828306815
2961,1523.1963463370475
3028,1523.3378988545896
3095,1522.9762673813912
3162,1522.7182987001836
3228,1522.8357493400163
3295,1523.0292158214631
3362,1523.4557772096168
3428,1522.9453523228271
3494,1522.9174322652984
3562,1523.1375327985452
3628,1523.1025962737215
3695,1523.0316042627828
3762,1522.9371029195768
3828,1523.0902924580757
3895,1522.833191741665
3961,1523.0385887083976
4028,1522.7281501958012
4095,1523.2154510370513
4162,1522.8488127794685
4228,1522.9969128874484
4295,1522.9574030681556
4362,1523.088561227804
4428,1523.2099860621308
4495,1523.1696130741668
4562,1522.7970570895154
4628,1522.9469295980748
4695,1522.967435160162
4761,1522.9745567810835
4828,1523.1731620701278
4895,1522.8360158417825
4983,1523.24515633025
5028,1522.94867128834
5095,1522.9501003062276
5162,1523.1054192640281
5228,1523.2072046583667
5295,1523.180277300357
5362,1522.7923997783425
5428,1522.7846179060875
5494,1522.7939985930088
