relative_time,MagneticRotationSensor
0,1177.5446679153958
66,1177.550717708794
132,1177.6749011779511
199,1177.5441082955226
266,1177.449345068661
332,1177.518940421652
399,1177.6423088548202
466,1177.6274750549403
532,1177.552985427856
599,1177.509903143044
665,1177.802527195832
732,1177.7709784800802
799,1177.5112248733833
866,1177.5620392028495
932,1177.7318058533763
999,1177.5765172570364
1065,1177.4542795030627
1132,1177.5891574161465
1199,1177.5759709695424
1266,1177.5523313568792
1331,1177.361742701892
1399,1177.4802862264476
1466,1177.4331923847528
1532,1177.8234586777385
1599,1177.46656324067
1666,1177.6956155269795
1732,1177.6349028023992
1799,1177.8194183396467
1866,1177.8273784256717
1932,1177.6121641131374
1999,1177.714061270388
2066,1177.9000830907448
2132,1177.8169278027437
2199,1178.0329938017728
2266,1177.7512584631845
2331,1177.820632891269
2399,1178.0123507322116
2466,1178.121322528489
2532,1178.0967481041473
2599,1177.8756790378618
2666,1177.719912989009
2731,1177.69551389139
2799,1177.655417685755
2866,1177.5185202648743
2931,1177.544151633451
2999,1177.8205414476292
3066,1177.9724838263412
3132,1177.9810350878408
3199,1177.7658413752208
3266,1177.6532983530853
3332,1177.632247756567
3399,1177.4870999345178
3466,1177.9532905581184
3532,1177.740062869318
3599,1177.6363765233586
3666,1177.7389078133256
3731,1177.6439114523791
3799,1177.8426925926592
3866,1178.0180134988277
3931,1177.6387114565275
3999,1177.7194980824618
4066,1177.6034272639886
4131,1177.5340856000287
4199,1177.7961125598333
4266,1177.786089319519
4332,1177.6650731313714
4399,1177.7080758043985
4466,1177.762512863619
4533,1177.8986218830698
4599,1177.8120032563063
4666,1177.7528337814938
4732,1177.662228385081
4799,1177.547292467811
4866,1177.4068331531917
4932,1177.6223541052527
4999,1177.7769539704593
5066,1177.8203578887221
5132,1177.9613255380832
5199,1177.5959876753136
5266,1177.785002025888
5332,1177.3437287562758
5399,1177.6164903021363
