relative_time,MagneticRotationSensor
0,1312.9109962376353
56,1312.5498564977875
122,1312.6957851775264
191,1312.414108903022
256,1312.331340737968
322,1312.6750290678015
390,1312.6386480565711
455,1312.5792460460339
522,1312.6863212126843
590,1312.9830309223983
656,1312.8078353340218
722,1312.506864229072
790,1312.6584427261234
856,1312.730821662293
922,1312.6503130941026
990,1312.8881221221968
1055,1312.7083528248531
1122,1312.6896673104757
1189,1312.7725991113757
1256,1312.6712070403014
1322,1312.5156072818304
1390,1312.509957557417
1456,1312.7295613277824
1522,1312.3109225419919
1589,1312.8125195482717
1656,1312.8020465254772
1722,1312.544976915775
1790,1312.5145039016538
1856,1312.6284893419675
1922,1312.6185829759277
1988,1312.659020831587
2056,1312.7264328307297
2122,1312.8104678283119
2188,1312.4978278693525
2256,1312.9414965631686
2322,1312.807445833166
2389,1312.5393075716174
2455,1312.7246247525877
2522,1312.6609329308822
2590,1312.6530817680434
2655,1312.591483705587
2722,1312.6027370608274
2788,1312.9091293118804
2856,1312.7279935843114
2922,1312.1807546098682
2990,1312.325654418434
3055,1312.2324398206422
3122,1312.7824978404117
3188,1312.364749946716
3255,1312.6415473008915
3322,1312.2826945589168
3390,1312.796490546303
3455,1312.7744453237829
3522,1312.6755638727882
3589,1312.6042027769831
3656,1312.7874540190776
3722,1312.5884430483288
3788,1312.5242277088103
3855,1312.3880273447244
3922,1312.4974912656996
3988,1312.673139389505
4055,1312.9344684293335
4122,1312.4288583858804
4188,1312.6328091541195
4256,1312.5930615395891
4322,1312.806147367232
4388,1312.818807055687
4455,1312.9319898568717
4522,1312.629129839094
4589,1312.5274993896744
4655,1312.5236594512564
4722,1312.8448867424004
4790,1312.125415556762
4856,1312.7499940817715
4922,1312.5883550014023
4989,1312.5002045057884
5055,1312.5975675935267
5122,1312.4115537370853
5190,1312.6600818133077
5255,1312.3159658140673
5322,1312.6414636818242
5390,1312.3993556822759
5455,1312.5532404996218
